Nom de la manifestation,Région,Domaine,Complément domaine,Département,Périodicité,Mois habituel de début,Site web,N° Identification,Commune principale,Autres communes,N° de l'édition 2018,Date de début,Date de fin,Date de création,Soutenu en 2017 par le ministère de la culture ,Soutenu en 2017 par le Centre national du cinéma ,Soutenu en 2017 par le Centre national du livre ,Soutenu en 2017 par le Centre national des variétés ,Soutenu en 2018 par le ministère de la culture ,Soutenu en 2018 par le Centre national du cinéma ,Soutenu en 2018 par le Centre national du livre ,Soutenu en 2018 par le Centre national des variétés ,Code postal,Code INSEE,coordonnees_insee,Libellé commune pour calcul CP,,,,,,,,,
Festival du Conte de Baden,Bretagne,Divers Spectacle vivant,Conte,56,,07 (juillet),,CH015,Baden,,,,,,,,,,,,,,56870,56008,47.61499327,,,,,,,,,,
CASTELJALOUX JAZZ À TABLE FESTIVAL,Nouvelle-Aquitaine,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOLKLORE (PAYS TARNAIS),Occitanie,Danse,Danses du monde et traditionnelles,81,,07 (juillet),,KF010,GAILLAC,,,,,,,,,,,,,,81600,81099,43.91709688,,,,,,,,,,
NUITS CAJUN DE SAULIEU,Bourgogne-Franche-Comté,Musiques actuelles,Musiques traditionnelles et du monde,21,Annuelle,08 (août),www.bayouprod.com,BD085,SAULIEU,,25,,,1/1/1994,,,,,,,,,21210,21584,47.28403069,,,,,,,,,,
INGENIEUSE AFRIQUE,Occitanie,Musiques actuelles,Musiques traditionnelles et du monde,9,Annuelle,08 (août),www.ingenieuseafrique.info,KD179,FOIX,,22,,,1/1/1997,,,,,,,,,9000,9122,42.96585023,,,,,,,,,,
Week-End des Arts de la Rue,Occitanie,Cirque et Arts de la rue,Arts de la rue,65,Annuelle,08 (août),http://www.ville-bagneresdebigorre.fr/,KM026,BAGNERES DE BIGORRE,,10,,,1/1/2009,,,,,,,,,65200,65059,42.97586689,,,,,,,,,,
Scène de cirque,Provence-Alpes-Côte d'Azur,Cirque et Arts de la rue,Cirque,6,Annuelle,08 (août),http://www.scenedecirque.fr/,MM003,Puget Theniers,,13,,,1/1/2006,,,,,,,,,6260,6099,43.95216492,,,,,,,,,,
Festival d'astronomie de Fleurance,Occitanie,Domaines divers,Sciences et techniques,32,Annuelle,08 (août),http://www.festival-astronomie.fr/,KL002,FLEURANCE,,28,,,1/1/1991,,,,,,,,,32500,32132,43.84027941,,,,,,,,,,
LES TROLLS EN FOLIE,Pays de la Loire,Musiques actuelles,Musiques amplifiées ou électroniques,72,Annuelle,08 (août),https://lestrollsenfolie.wixsite.com/lestrollsenfolie,LD141,JUPILLES,,5,,,1/1/2014,,,,,,,,,72500,72153,47.79188935,,,,,,,,,,
Les Traversées Tatihou,Normandie,Musiques actuelles,Musiques amplifiées ou électroniques,50,Annuelle,08 (août),https://www.manche.fr/culture/traversees-tatihou.aspx,ID034,St  Vaast la Hougue,,24,,,1/1/1995,,,,,,,,,50550,50562,49.59935083,,,,,,,,,,
UN AIR DE JAZZ,Bretagne,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAL DE BOURG-MADAME,Occitanie,Pluridisciplinaire Musique,,66,,08 (août),www.festivalbourgmadame.fr,KC001,BOURG MADAME,,,,,,,,,,,,,,66760,66025,42.43799713,,,,,,,,,,
FESTIVAL SUR LIGNON,Auvergne-Rhône-Alpes,Musiques actuelles,,43,Annuelle,08 (août),www.festivalsurlignon.org,AD299,Fay Sur Lignon,,20,,,1/1/1999,,,,,,,,,43430,43092,44.9856972,,,,,,,,,,
FESTIVAL LES AERIENNES,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,48,Annuelle,08 (août),https://www.lesaeriennes.com,KD168,MENDE,,2,,,1/1/2017,,,,,,,,,48000,48095,44.52945086,,,,,,,,,,
FOLKOLOR,Occitanie,Danse,Danses du monde et traditionnelles,31,,08 (août),www.festivalmontrejeau.fr,KF004,MONTREJEAU,,,,,,,,,,,,,,31210,31390,43.08858849,,,,,,,,,,
Festival des Filets Bleus,Bretagne,Musiques actuelles,Musiques traditionnelles et du monde,29,Annuelle,08 (août),http://www.festivaldesfiletsbleus.fr/,CD107,Concarneau,,,,,1/1/1905,,,,,,,,,29900,29039,47.896626,,,,,,,,,,
LE BUIS BLUES FESTIVAL,Nouvelle-Aquitaine,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIJAZZ,Normandie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival de la Chaise Dieu,Auvergne-Rhône-Alpes,Musiques classiques,,43,Annuelle,08 (août),www.chaise-dieu.com,AE006,La Chaise Dieu,,52,,,1/1/1967,oui,,,,,,,,43160,43048,45.31871669,,,,,,,,,,
LES DENTELLES ELECTRONIQUES,Hauts-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,59,,08 (août),,GD024,Caudry,,,,,,,,,,,,,,59540,59139,50.1187185,,,,,,,,,,
CUIVRES EN FÊTE,Nouvelle-Aquitaine,Musiques actuelles,,87,,08 (août),,JD187,LIMOGES,,,,,,,,,,,,,,87280,87085,45.85425496,,,,,,,,,,
Festival du Film Francophone d'Angoulême,Nouvelle-Aquitaine,Cinéma et audiovisuel,,16,,08 (août),http://www.filmfra,JJ004,ANGOULEME,,11,,,1/1/2008,,oui,,,,,,,16000,16015,45.64725851,,,,,,,,,,
LES FETES DE LA VIGNE,Bourgogne-Franche-Comté,Pluridisciplinaire Spectacle vivant,,21,Annuelle,08 (août),www.fetesdelavigne.org,BB012,DIJON,,73,,,1/1/1946,,,,,,,,,21000,21231,47.3229438,,,,,,,,,,
NUITS DE COARTJAZZ,Provence-Alpes-Côte d'Azur,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival international du film insulaire,Bretagne,Cinéma et audiovisuel,,56,,08 (août),www.filminsulaire.com,CJ010,GROIX,,,,,1/1/2002,,,,,,,,,56590,56069,47.63723942,,,,,,,,,,
Festival international du film de Nancy,Grand Est,Cinéma et audiovisuel,,54,Annuelle,08 (août),https://www.fifnl.com/,FJ005,NANCY,,24,,,1/1/1995,oui,,,,,,,,54000,54395,48.69019955,,,,,,,,,,
FESTIVAL DE CUGAND,Pays de la Loire,Musiques actuelles,Musiques traditionnelles et du monde,85,Annuelle,08 (août),http://www.festival-cugand.fr/,LD101,CUGAND,,21,,,1/1/1998,,,,,,,,,85610,85076,47.06023881,,,,,,,,,,
CE MURMURE FESTIVAL,Bourgogne-Franche-Comté,Musiques actuelles,,21,Annuelle,08 (août),http://cemurmurefestival.com/,BD011,Semur En Auxois,,4,,,1/1/2015,,,,,,,,,21140,21603,47.49095593,,,,,,,,,,
SILLIUSFEST,Bourgogne-Franche-Comté,Musiques actuelles,Musiques amplifiées ou électroniques,71,Annuelle,08 (août),,BD065,AUTUN,,2,,,1/1/2017,,,,,,,,,71400,71014,46.94553677,,,,,,,,,,
CAPH'ART'NAUM,Grand Est,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIBAL FESTIVAL,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,6,Annuelle,08 (août),www.tribalroch.asso.fr,MD043,PEYMEINADE,,11,,,1/1/2008,,,,,,,,,6530,6095,43.63052945,,,,,,,,,,
LUPUL'IN METEREN,Hauts-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,59,Annuelle,08 (août),http://lupulin.meteren.org/,GD092,METEREN,,8,,,1/1/2011,,,,,,,,,59270,59401,50.74790051,,,,,,,,,,
BLUES EN CHENIN,Pays de la Loire,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU BONHEUR DES MÔMES,Auvergne-Rhône-Alpes,Pluridisciplinaire Spectacle vivant,,74,Annuelle,08 (août),www.aubonheurdesmomes.com,AB007,LE GRAND BORNAND,,27,,,1/1/1992,,,,,,,,,74450,74136,45.95621745,,,,,,,,,,
LES TRETEAUX NOMADES,Île-de-France,Théâtre,,75,Annuelle,08 (août),http://www.treteauxnomades.com/,HG007,PARIS,,19,,,1/1/2000,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
Les Rias,Bretagne,Cirque et Arts de la rue,Arts de la rue,29,Annuelle,08 (août),https://www.lefourneau.com/les-rias-2018.html,CM017,QUIMPERLE,Baye,,,,,,,,,,,,,,,,,,,,,,,,,
Détours en Tournugeois,Bourgogne-Franche-Comté,Cirque et Arts de la rue,Arts de la rue,71,Annuelle,08 (août),http://www.legalpon.com,BM003,Tournus,,20,,,1/1/1999,,,,,,,,,71700,71543,46.5651726,,,,,,,,,,
VOIX ET ROUTE ROMANE,Grand Est,Musiques classiques,Baroque et ancien,67,Annuelle,08 (août),www.voix-romane.com,FE008,STRASBOURG,Plusieurs communes de la Route Romane d’Alsace,26,,,1/1/1993,,,,,,,,,67100,67482,48.57126798,,,,,,,,,,
URBAN SPACES - RENCONTRES DES CULTURES URBAINES A BAYEUX,Normandie,Transdisciplinaire,Cultures urbaines,14,Annuelle,08 (août),https://www.bayeux.fr/fr/urban-spaces,IA009,BAYEUX,,11,,,1/1/2008,,,,,,,,,14400,14047,49.27765592,,,,,,,,,,
JAZZ NUTS FESTIVAL,Nouvelle-Aquitaine,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAL SAUTE MOUTON,Occitanie,Musiques actuelles,,65,Annuelle,08 (août),www.festivalsautemouton.com,KD226,ST LAURENT DE NESTE,,5,,,1/1/2014,,,,,,,,,65150,65389,43.09201509,,,,,,,,,,
URIAGE EN VOIX,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,38,Annuelle,09 (septembre),http://www.uriage-les-bains.com,AD250,ST MARTIN D URIAGE,,17,,,1/1/2002,,,,,,,,,38410,38422,45.1533115,,,,,,,,,,
FESTIVAL CHARIVARI,Auvergne-Rhône-Alpes,Cirque et Arts de la rue,Arts de la rue,63,Annuelle,09 (septembre),www.billomrenaissance.fr,AM019,BILLOM,,15,,,1/1/2004,,,,,,,,,63160,63040,45.72511847,,,,,,,,,,
Festival Rue Dell Arte,Bretagne,Cirque et Arts de la rue,Arts de la rue,22,Annuelle,09 (septembre),http://festivalrda.wixsite.com/festivalruedellarte,CM019,MONCONTOUR,Quessoy,13,,,1/1/2006,,,,,,,,,22510,22153,48.35819804,,,,,,,,,,
PARIS INTERNATIONAL FESTIVAL OF PSYCHEDELIC MUSIC/ PARIS PSYCH FEST,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,75,Annuelle,09 (septembre),www.parispsychfest.com,HD197,PARIS,,5,,,1/1/2014,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
ROCK EN SEVRE,Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,79,Annuelle,09 (septembre),www.accesrock.bandcamp.com/album/rock-en-sevre-2018,JD200,NIORT,,6,,,1/1/2013,,,,,,,,,79000,79191,46.32826024,,,,,,,,,,
FESTIVAL AU TOP,Provence-Alpes-Côte d'Azur,Pluridisciplinaire Spectacle vivant,,4,Annuelle,09 (septembre),www.letop.org,MB019,DIGNE LES BAINS,,4,,,1/1/2015,,,,,,,,,4000,4070,44.09087236,,,,,,,,,,
BALLADE AVEC BRASSENS,Bretagne,Musiques actuelles,Chanson,35,Annuelle,09 (septembre),http://balladeavecbrassens.fr/,CD166,RENNES,St Brieuc,15,,,1/1/2004,,,,,,,,,35700,35238,48.11197912,,,,,,,,,,
BATOJAZZ (BatÔJazz),Auvergne-Rhône-Alpes,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAZZ AU SOMMET,Auvergne-Rhône-Alpes,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAL DE L'IMPREVU,Nouvelle-Aquitaine,Pluridisciplinaire Spectacle vivant,,16,Annuelle,09 (septembre),http://www.imprevu-festival.fr/,JB031,MONTEMBOEUF,,19,,,1/1/2000,,,,,,,,,16310,16225,45.77387877,,,,,,,,,,
CLIMAX FESTIVAL,Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,33,Annuelle,09 (septembre),http://climaxfestival.fr/,JD005,BORDEAUX,Cenon / Bordeaux,4,,,1/1/2015,,,,,,,,,33000,33063,44.85724454,,,,,,,,,,
TOMAHAWK,Bretagne,Musiques actuelles,,29,Annuelle,09 (septembre),http://www.tomahawk-music.eu/,CD167,Querrien,,5,,,1/1/2014,,,,,,,,,29310,29230,47.95539376,,,,,,,,,,
Septembre musical de l'orne,Normandie,Musiques classiques,,61,Annuelle,09 (septembre),www.septembre-musical.com,IE006,ALENCON,Alencon / Echauffour / Le Mele sur Sarthe / Saint-Hilaire-de-Briouze / Mortagne Au Perche / Domfront / Flers / Sees / Survie / L'Aigle / Belleme / Ecouche / Argentan / Mortree / Bagnoles de l'Orne,37,,,1/1/1982,oui,,,,,,,,61000,61001,48.43181931,,,,,,,,,,
SIMONE PETE LES WATTS,Nouvelle-Aquitaine,Musiques actuelles,,33,Annuelle,09 (septembre),www.simone.le-label-pas-sage.fr,JD197,La Reole,,6,,,1/1/2013,,,,,,,,,33190,33352,44.58609045,,,,,,,,,,
TOROS Y SALSA,Nouvelle-Aquitaine,Musiques actuelles,,40,Annuelle,09 (septembre),http://torosysalsa.dax.fr/,JD199,DAX,,24,,,1/1/1995,,,,,,,,,40100,40088,43.7006747,,,,,,,,,,
OUAILLE NOTE,Nouvelle-Aquitaine,Musiques actuelles,,79,Annuelle,09 (septembre),www.ouaille-note-festival.fr,JD201,VASLES,,6,,,1/1/2013,,,,,,,,,79340,79339,46.57376486,,,,,,,,,,
OUVRE LA VOIX,Nouvelle-Aquitaine,Musiques actuelles,,33,Annuelle,09 (septembre),www.rockschool-barbey.com,JD202,BORDEAUX,Sauveterre de Guyenne / Espiet / Creon / Bordeaux / Floirac / Bouliac / Latresne,17,,,1/1/2002,,,,,,,,,33000,33063,44.85724454,,,,,,,,,,
LE TEMPS D'AIMER LA DANSE,Nouvelle-Aquitaine,Danse,,64,Annuelle,09 (septembre),http://www.letempsdaimer.com,JF007,BIARRITZ,,28,,,1/1/1991,oui,,,,,,,,64200,64122,43.46958472,,,,,,,,,,
L'ART SCENE FESTIVAL,Auvergne-Rhône-Alpes,Musiques actuelles,,1,Annuelle,09 (septembre),www.lartscenefestival.com,AD267,ATTIGNAT,,7,,,1/1/2012,,,,,,,,,1340,1024,46.28618022,,,,,,,,,,
ROCK FORT FEST,Grand Est,Musiques actuelles,,54,Annuelle,09 (septembre),www.rockfortfest.com,FD098,Bainville sur Madon,,3,,,1/1/2016,,,,,,,,,54550,54043,48.59009709,,,,,,,,,,
LES INOUIES,Hauts-de-France,Musiques classiques,,62,Annuelle,09 (septembre),www.musiqueenrouelibre.com,GE009,ARRAS,,12,,,1/1/2007,,,,,,,,,62000,62041,50.2898965,,,,,,,,,,
KIOSQUORAMA,Île-de-France,Pluridisciplinaire Spectacle vivant,,75,Annuelle,09 (septembre),www.kiosquorama.org,HB022,PARIS,,10,,,1/1/2009,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
ELEKTRIC PARK FESTIVAL,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,78,Annuelle,09 (septembre),https://www.elektricpark.com,HD109,CHATOU,,10,,,1/1/2009,,,,,,,,,78400,78146,48.89655746,,,,,,,,,,
LES DEBROUSSAILLEUSES,Pays de la Loire,Musiques actuelles,,49,Annuelle,09 (septembre),http://lesdebroussailleuses.docteurparadi.com,LD069,Trementines,,2,,,1/1/2017,,,,,,,,,49340,49355,47.1227108,,,,,,,,,,
TOUMELE,Île-de-France,Pluridisciplinaire Spectacle vivant,,78,Annuelle,09 (septembre),www.toumele.org,HB020,MAULE,,17,,,1/1/2002,,,,,,,,,78580,78380,48.90785486,,,,,,,,,,
ABRACADA'SONS,Nouvelle-Aquitaine,Musiques actuelles,,47,Annuelle,09 (septembre),http://www.paysdelauzun.com/fr,JD126,MIRAMONT DE GUYENNE,,18,,,1/1/2001,,,,,,,,,47800,47168,44.583345,,,,,,,,,,
ZE FIESTIVAL,Auvergne-Rhône-Alpes,Musiques actuelles,,26,Annuelle,09 (septembre),www.zefiestival.net,AD248,MARSANNE,,8,,,1/1/2011,,,,,,,,,26740,26176,44.64027308,,,,,,,,,,
FESTIVAL INTERNATIONAL DE MUSIQUE D'HYERES,Provence-Alpes-Côte d'Azur,Musiques classiques,,83,Annuelle,09 (septembre),www.festivalhyeres.org,ME024,HYERES,,12,,,1/1/2005,,,,,,,,,83400,83069,43.10187135,,,,,,,,,,
JAZZ SUR LES PLACES,Auvergne-Rhône-Alpes,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAL EN ARC,Bourgogne-Franche-Comté,Théâtre,,70,Annuelle,09 (septembre),www.festivalenarc.fr,BG001,ARC LES GRAY,,8,,,1/1/2011,,,,,,,,,70100,70026,47.46286039,,,,,,,,,,
L'EFFET PAPILLON A MARTIGNAS SUR JALLE,Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,33,Annuelle,09 (septembre),https://www.festival-effet-papillon.fr/,JD097,MARTIGNAS SUR JALLE,,3,,,1/1/2016,,,,,,,,,33127,33273,44.84502672,,,,,,,,,,
FESTIVAL DE QUATUORS A CORDES EN PAYS DE FAYENCE,Provence-Alpes-Côte d'Azur,Musiques classiques,,83,Annuelle,09 (septembre),www.quatuors-fayence.com,ME025,FAYENCE,Seillans / Montauroux / Tourrettes / Callian / Mons / Fayence,31,,,1/1/1988,,,,,,,,,83440,83055,43.61033458,,,,,,,,,,
La Valse des As,Provence-Alpes-Côte d'Azur,Cirque et Arts de la rue,Arts de la rue,84,,09 (septembre),https://fr-fr.facebook.com/pages/category/Community/la-Valse-des-As-123943874282786/,MM014,VALREAS,,,,,,,,,,,,,,84600,84138,44.37715886,,,,,,,,,,
PERCUFOLIES,Centre-Val de Loire,Musiques actuelles,,37,Annuelle,09 (septembre),https://www.percufolies.fr/,DD072,LIGUEIL,,12,,,1/1/2007,,,,,,,,,37240,37130,47.04231904,,,,,,,,,,
Charivari au Village,Île-de-France,Cirque et Arts de la rue,Arts de la rue,95,,09 (septembre),http://www.cergy.fr/se-divertir/temps-forts/charivari-au-village/,HM017,CERGY PONTOISE,,,,,,,,,,,,,,95000,95127,49.04011316,,,,,,,,,,
L'ESPRIT DES PIERRES,Nouvelle-Aquitaine,Musiques classiques,Baroque et ancien,87,Annuelle,09 (septembre),https://www.ensemblebeatus.fr/,JE020,LIMOGES,Solignac,5,,,1/1/2014,,,,,,,,,87280,87085,45.85425496,,,,,,,,,,
Salon International d'Art d'Argelès-sur-mer,Occitanie,Arts plastiques et visuels,,66,,09 (septembre),,KI014,ARGELES SUR MER,,,,,,,,,,,,,,66700,66008,42.53521935,,,,,,,,,,
FESTIVAL FESTIN DE PIERRES,Occitanie,Cirque et Arts de la rue,Arts de la rue,34,Annuelle,09 (septembre),www.festindepierres.com,KM017,ST JEAN DE VEDAS,,10,,,1/1/2009,,,,,,,,,34430,34270,43.57162823,,,,,,,,,,
Festival international du court métrage de Lille,Hauts-de-France,Cinéma et audiovisuel,Courts-métrages,59,,09 (septembre),www.festivalducourt-lille.com,GJ007,LILLE,,,,,1/1/2002,,,,,,,,,59160,59350,50.63171832,,,,,,,,,,
LES EMBUSCADES,Pays de la Loire,Divers Spectacle vivant,Humour,53,Annuelle,09 (septembre),http://www.lesembuscades.fr,LH006,COSSE LE VIVIEN,Cosmes / Meral / La Selle Craonnaise / Gastines / Simple,33,,,1/1/1986,,,,oui,,,,,53230,53077,47.94585879,,,,,,,,,,
BRESIL EN MOUVEMENTS,Île-de-France,Cinéma et audiovisuel,Documentaire,75,Annuelle,09 (septembre),www.bresilenmouvements.org,HJ067,PARIS,,14,,,1/1/2005,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
MUSIQUE AU CHAMBERTIN,Bourgogne-Franche-Comté,Pluridisciplinaire Musique,,21,Annuelle,09 (septembre),www.ot-gevreychambertin.fr,BC003,GEVREY CHAMBERTIN,,31,,,1/1/1988,,,,,,,,,21220,21295,47.22008229,,,,,,,,,,
ARTHUR'S DAY FESTIVAL,Hauts-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,60,Annuelle,09 (septembre),www.arthurs-day-festival.com,GD060,GRANDVILLIERS,,8,,,,,,,,,,,,60210,60286,49.66601636,,,,,,,,,,
Festiv'art,Hauts-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,80,Annuelle,09 (septembre),www.myfestivart.com,GD084,AMIENS,,12,,,1/1/2007,,,,,,,,,80000,80021,49.90095322,,,,,,,,,,
LE LOUP VERT,Normandie,Musiques actuelles,Musiques amplifiées ou électroniques,76,Annuelle,09 (septembre),https://www.leloupvert-festival.com,ID057,JUMIEGES,,3,,,1/1/2016,,,,,,,,,76480,76378,49.42707355,,,,,,,,,,
Festival de La Basse Cour,Occitanie,Cirque et Arts de la rue,Cirque,30,Annuelle,09 (septembre),www.labassecour.com,KM023,COLLIAS,Un village du Gard différent chaque année,11,,,1/1/2008,,,,,,,,,30210,30085,43.94905223,,,,,,,,,,
LEVITATION FRANCE,Pays de la Loire,Musiques actuelles,Musiques amplifiées ou électroniques,49,Annuelle,09 (septembre),http://levitation-france.com,LD045,ANGERS,,6,,,1/1/2013,,,,oui,,,,,49000,49007,47.47683742,,,,,,,,,,
UGINE CITY ROCK,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,73,Annuelle,09 (septembre),http://www.ugine.com,AD241,UGINE,,20,,,1/1/1999,,,,,,,,,73400,73303,45.77188769,,,,,,,,,,
FESTIVAL DE MUSIQUE ANCIENNE DE RIBEAUVILLE,Grand Est,Musiques classiques,Baroque et ancien,68,Annuelle,09 (septembre),www.musiqueancienneribeauville.eu,FE009,RIBEAUVILLE,,35,,,1/1/1984,,,,,,,,,68150,68269,48.20651392,,,,,,,,,,
CODA FESTIVAL,Hauts-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,59,,09 (septembre),www.codafestival.fr/,GD021,Bondues,,,,,,,,,,,,,,59910,59090,50.70966562,,,,,,,,,,
FESTI'ZAC,Nouvelle-Aquitaine,Musiques actuelles,,87,,09 (septembre),www.festizac.fr,JD179,Ambazac,,1,,,1/1/2018,,,,,,,,,87240,87002,45.95342266,,,,,,,,,,
LES INTERNATIONALES DE LA GUITARE,Occitanie,Musiques actuelles,,34,,09 (septembre),www.internationalesdelaguitare.com,KD224,MONTPELLIER,Toulouse / Saint Genies des Mourgues / Saint Christol / Lattes / Clapiers / Rivesaltes / Mauguio / Prades le Lez / Castelnaudary / Lunel / Jacou,23,,,,,,,,,,,,34080,34172,43.61344091,,,,,,,,,,
RED BULL MUSIC FESTIVAL PARIS,Île-de-France,Musiques actuelles,,75,Annuelle,09 (septembre),https://paris.redbullmusicacademy.com/,HD206,PARIS,,20,,,1/1/1999,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
PARIS ELECTRONIC WEEK,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,75,Annuelle,09 (septembre),www.pariselectronicweek.fr,HD205,PARIS,,6,,,1/1/2013,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
LE CIRCUIT,Nouvelle-Aquitaine,Musiques actuelles,,86,,09 (septembre),http://www.confort-moderne.fr/fr/,JD209,POITIERS,,,,,,,,,,,,,,86000,86194,46.58392077,,,,,,,,,,
SAINT-BENOIT SWING,Nouvelle-Aquitaine,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE CHANT DES PIERRES,Auvergne-Rhône-Alpes,Pluridisciplinaire Spectacle vivant,,69,Annuelle,09 (septembre),http://www.ekleknopopulace.fr/,AB037,ST JEAN DES VIGNES,,11,,,1/1/2008,,,,,,,,,69380,69212,45.87462639,,,,,,,,,,
LES INSULAIRES !,Bretagne,Musiques actuelles,,56,Annuelle,09 (septembre),www.lesinsulaires.com,CD170,GROIX,ILES DU PONANT,7,,,1/1/2012,,,,,,,,,56590,56069,47.63723942,,,,,,,,,,
WE WILL FOLK YOU,Hauts-de-France,Musiques actuelles,,59,Annuelle,09 (septembre),www.4ecluses.com,GD096,DUNKERQUE,,8,,,1/1/2011,,,,,,,,,59430,59183,51.03072291,,,,,,,,,,
Festival du Poulpaphone,Hauts-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,62,Annuelle,09 (septembre),www.agglo-boulonnais.fr/,GD097,BOULOGNE SUR MER,,15,,,1/1/2004,,,,,,,,,62200,62160,50.72713327,,,,,,,,,,
RACK' ESTIVAL,Île-de-France,Musiques actuelles,,91,,09 (septembre),www.lerackam.com,HD203,BRETIGNY SUR ORGE,,,,,,,,,,,,,,91220,91103,48.60251134,,,,,,,,,,
ROCK N LIVE,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,78,Annuelle,09 (septembre),https://rocknlive.jimdo.com,HD207,Sartrouville,,15,,,1/1/2004,,,,,,,,,78500,78586,48.93960855,,,,,,,,,,
RIRE EN SEINE,Normandie,Divers Spectacle vivant,Humour,76,Annuelle,09 (septembre),www.rireenseine.fr,IH016,ROUEN,,9,,,1/1/2010,,,,,,,,,76000,76540,49.44134601,,,,,,,,,,
FESTIVAL LES INSOLANTES,Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,16,Annuelle,09 (septembre),http://lesinsolantes.com,JD208,LA COURONNE,,2,,,1/1/2017,,,,,,,,,16400,16113,45.60963733,,,,,,,,,,
COULEURS GUITARE,Occitanie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANGO SWING ET BRETELLES,Bourgogne-Franche-Comté,Musiques actuelles,,71,Annuelle,09 (septembre),www.embarcadere-montceau.fr,BD086,MONTCEAU LES MINES,,21,,,1/1/1998,,,,,,,,,71300,71306,46.67625391,,,,,,,,,,
FESTIVAL DE L'IMAGINAIRE,Île-de-France,Musiques actuelles,Musiques traditionnelles et du monde,75,Annuelle,09 (septembre),www.festivaldelimaginaire.com,HD086,PARIS,Aubervilliers,,,,,,,,,,,,,,,,,,,,,,,,,
ROCK IN THE BARN,Normandie,Musiques actuelles,Musiques amplifiées ou électroniques,27,Annuelle,09 (septembre),www.rockinthebarn.fr,ID019,GIVERNY,,9,,,1/1/2010,,,,,,,,,27620,27285,49.08194389,,,,,,,,,,
FESTIVAL IMPRESSIONS VISUELLES ET SONORES,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,13,Annuelle,09 (septembre),www.impressionsvisuellesetsonores.fr,MD160,MARSEILLE,,16,,,1/1/2003,,,,,,,,,13001,13201,43.29990094,,,,,,,,,,
FESTI JAZZ LUÇON,Pays de la Loire,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001 FACETTES,Hauts-de-France,Musiques actuelles,,2,Biennale années impaires,09 (septembre),www.laboulaf.com,GD012,SOISSONS,,,,,,,,,,,,,,2200,2722,49.3791743,,,,,,,,,,
CHAMB'ART'DEMENT,Hauts-de-France,Cirque et Arts de la rue,Arts de la rue,60,Biennale années impaires,09 (septembre),http://www.ville-chambly.fr/Culture-Loisirs/Festivites/Festival-Chamb-art-dement,GM007,CHAMBLY,,,,,1/1/2011,,,,,,,,,60230,60139,49.17181037,,,,,,,,,,
